medicine,median
ENPRESSE,13.0
DEPO-TESTOSTERONE,13.0
POTASSIUM CHL-NORMAL SALINE,21.0
BUPIVACAINE HCL,11
LUPRON DEPOT-PED,12
ZOFRAN,13.0
METHOTREXATE,78.0
MIACALCIN,12.0
FOSAMAX PLUS D,12.0
OXYCODONE HCL-ASPIRIN,12.0
SULFAZINE EC,19.0
ATELVIA,19.0
AMERGE,12.0
EDURANT,13.0
PANTOPRAZOLE SODIUM,27.0
ACIPHEX,15.0
CARNITOR SF,12.5
NEPHROCAPS QT,11
SIMCOR,13.0
TERUMO INSULIN SYRINGE,11
NOROXIN,14.0
ZIOPTAN,15.0
LOFIBRA,12
AMLODIPINE-ATORVASTATIN,13.0
CINRYZE,15.0
COZAAR,12.0
NEOMYCIN-POLYMYXIN B,17.0
MOEXIPRIL HCL,12.0
CALCITONIN-SALMON,16.0
JANUMET,20.0
AFINITOR,15.0
FENOPROFEN CALCIUM,14.0
KALYDECO,12.0
PROGRAF,19.0
ALSUMA,14.0
NARDIL,12.0
PRISTIQ ER,19.0
ZARAH,12.0
AZATHIOPRINE,19.0
CIPRODEX,19.0
ISONIAZID,14.0
TESTOSTERONE ENANTHATE,14.0
PREVALITE,13.0
NOVOLOG MIX 70-30,17.0
QUININE SULFATE,12.0
NORVIR,44.0
SUSTIVA,21.0
ALCOHOL SWABS,17.0
BRINTELLIX,13
ZYFLO,11.0
METHOCARBAMOL,19.0
INVANZ,17.0
STIMATE,12
PERJETA,11.5
RENAL CAPS,13.5
ASACOL,14.0
PREDNISOLONE ACETATE,17.0
DENTA 5000 PLUS,14.0
CANASA,14.0
GLEEVEC,18.0
JUXTAPID,15.0
BALSALAZIDE DISODIUM,17.0
TRAVATAN Z,20.0
ARMOUR THYROID,16.0
DESLORATADINE,13.0
FABRAZYME,24.0
OMECLAMOX-PAK,11
PHISOHEX,11
TWYNSTA,12.0
VICTRELIS,15.0
KLOR-CON M20,20.0
REMEVEN,14
ARIMIDEX,12.0
SULFACETAMIDE SODIUM,14.0
FIRAZYR,24.0
AK-POLY-BAC,11.0
AMOX TR-POTASSIUM CLAVULANATE,17.0
PREDNISONE,25.0
DILACOR XR,12
EXEMESTANE,23.0
FOLTANX,12.0
RISPERDAL,12.0
ALOXI,18.5
SODIUM PHOSPHATE,12.5
PROPRANOLOL HCL,19.0
TREXALL,14.0
NORINYL 1+50,11
CARDIZEM LA,12.0
OXYCODONE HCL,25.0
PLAVIX,14.0
FEMARA,12.0
APRACLONIDINE HCL,11.5
SUCRALFATE,20.0
PARNATE,12.0
LIOTHYRONINE SODIUM,18.0
AVODART,16.0
BUPHENYL,12.0
NPLATE,13.0
VOLTAREN-XR,12
PIOGLITAZONE-GLIMEPIRIDE,13.0
XANAX,12.0
CEFOTETAN,14
EASY COMFORT INSULIN SYRINGE,13
QUINIDINE SULFATE,12.0
NABUMETONE,19.0
NEXAVAR,14.0
FOLBIC,13.0
MULTAQ,24.0
CORGARD,12.0
ZOLPIMIST,12.0
BUPAP,12
LEVATOL,12.0
ADALAT CC,12.0
PIROXICAM,15.0
ACTOS,13.5
TRIAMTERENE-HYDROCHLOROTHIAZID,15.0
MEGACE ES,15.0
METHYLPREDNISOLONE ACETATE,21.0
APLENZIN,13.0
SILENOR,13.0
HEPSERA,13.0
NIRAVAM,12.0
LAMICTAL XR,17.0
LAMICTAL ODT,13.0
PRODIGY INSULIN SYRINGE,11.0
METOLAZONE,18.0
IBANDRONATE SODIUM,16.0
GLYBURIDE,19.0
EPITOL,13.0
METOPROLOL TARTRATE,43.0
TRIBENZOR,16.0
CLONAZEPAM,36.0
DESONATE,11
BUDEPRION XL,13.0
NALOXONE HCL,14.0
PENNSAID,15.0
GATTEX,14.0
OMEPRAZOLE,41.0
MEXILETINE HCL,13.0
VYTORIN,18.0
MAXZIDE-25 MG,12.0
VANDAZOLE,12.5
SSD,15.0
QUALAQUIN,12.0
EPIDUO,13.0
OLANZAPINE,35.0
DONEPEZIL HCL,32.0
TOFRANIL-PM,12.0
LORCET 10-650,13.0
HALCION,12.0
DOXORUBICIN HCL,13.0
METHITEST,12.0
PROCHLORPERAZINE EDISYLATE,17.0
TOLBUTAMIDE,12.5
TRIANEX,13
EFFEXOR XR,13.0
HYDROCODONE-CHLORPHENIRAMINE,14.0
ALTAVERA,12.0
LOESTRIN,16
CLORAZEPATE DIPOTASSIUM,14.0
METHSCOPOLAMINE BROMIDE,17.0
FUZEON,12.0
POLYMYXIN B SULFATE,19.0
LITE TOUCH,13.0
HYDRALAZINE HCL,26.0
FLECTOR,15.0
SIMPONI,16.5
LOMOTIL,11.0
JINTELI,13.0
FOLIC ACID-VIT B6-VIT B12,12.0
OXYTOCIN,49
NAMENDA XR,20.0
TRAVASOL,17.0
DETROL,12.0
ENALAPRILAT,46
PRED FORTE,21.0
BUTALB-CAFF-ACETAMINOPH-CODEIN,14.0
NYSTOP,17.0
ACTOPLUS MET XR,12.0
TRUVADA,43.0
CLINDAMYCIN PHOSPHATE-D5W,14
ALPRAZOLAM XR,14.0
PEGASYS,16.0
MULTIGEN,12.0
OPIUM TINCTURE,13.0
NEOMYCIN-POLYMYXIN-HYDROCORT,15.0
PERINDOPRIL ERBUMINE,12.5
LUER-LOK SYRINGE,11
HEMATOGEN,12
NOVOTWIST,15.0
COPEGUS,11
GALZIN,11
SAFETYGLIDE INSULIN SYRINGE,15.0
CEFDINIR,18.0
BYETTA,19.0
