medicine,South,Midwest,West,Northeast
b'BUTALB-CAFF-ACETAMINOPH-CODEIN',174,68,90,86
b'ACZONE',2,1,2,1
b'ICLUSIG',3,1,2,3
b'ELINEST',1,2,1,0
b'PHOSPHOLINE IODIDE',0,0,0,1
b'ALFUZOSIN HCL',239,93,142,210
b'IROSPAN',0,0,1,1
b'LIPTRUZET',0,1,2,1
b'OMEPRAZOLE',21540,11755,11998,13654
b'TOPICORT',0,1,0,0
b'XENICAL',2,0,1,3
b'LEUKERAN',58,57,33,41
b'ZOLPIDEM TARTRATE ER',1425,880,722,1217
b'USTELL',2,0,0,0
b'PREDNISONE',14752,9002,7171,8952
b'PROGRAF',150,102,65,107
b'CO-GESIC',0,1,0,0
b'ZOLMITRIPTAN',4,9,5,9
b'DORIBAX',4,3,6,4
b'KADCYLA',1,2,1,2
b'DEXAMETHASONE SODIUM PHOSPHATE',62,20,24,70
b'MONOJECT INSULIN SYRINGE',52,51,28,78
b'SE-NATAL 19',1,0,0,0
b'ALIMTA',9,1,9,15
b'DIGOX',6027,3206,3076,4360
b'MIRAPEX',32,16,17,32
b'SUMATRIPTAN SUCCINATE',1967,1136,1335,1056
b'LUPRON DEPOT-PED',0,0,0,1
b'EDLUAR',16,6,4,5
b'RAZADYNE',1,1,0,0
b'TIROSINT',120,39,47,96
b'NEOMYCIN-POLYMYXIN-GRAMICIDIN',3,1,0,2
b'MAXIPIME',1,0,0,0
b'LANTUS',5146,2640,3285,2916
b'REBIF',463,411,240,326
b'PHENAZOPYRIDINE HCL',113,21,32,25
b'ERGOLOID MESYLATES',4,1,3,4
b'DESIPRAMINE HCL',324,279,239,365
b'LEVOFLOXACIN',7174,2956,2448,2834
b'PROPYLTHIOURACIL',172,92,88,142
b'FELODIPINE ER',1235,513,854,726
b'UNIVASC',0,0,1,1
b'TERCONAZOLE',169,32,46,115
b'SOLIRIS',4,1,1,2
b'BIDIL',317,70,19,83
b'ZYPREXA RELPREVV',47,35,41,21
b'NEULASTA',30,16,26,71
b'WELLBUTRIN XL',179,116,110,182
b'INVIRASE',52,23,23,44
b'LANSOPRAZOLE',4012,1988,1585,2365
b'AMPICILLIN SODIUM',28,11,13,10
b'INVANZ',229,141,92,63
b'FLUTAMIDE',21,8,15,6
b'PEGINTRON',3,1,3,0
b'ALPRAZOLAM ODT',5,6,3,6
b'ACTOPLUS MET',18,4,18,13
b'PEG-3350',57,39,9,15
b'STALEVO 75',15,3,6,12
b'AMOXAPINE',60,58,24,40
b'HUMIRA',1464,945,788,915
b'CORTISPORIN-TC',0,0,0,1
b'FLUOROURACIL',273,113,145,105
b'PRECISION',1,0,0,0
b'COUMADIN',1803,796,582,1319
b'ARALAST NP',27,23,15,12
b'SUTENT',103,73,73,55
b'TRIAMTERENE-HCTZ',5413,3013,2645,2699
b'ZOFRAN',2,1,1,2
b'ARCAPTA NEOHALER',72,19,38,41
